subclass,instance,gender,age,publication_year
Model,Roberta_Close,trans woman,60.0,2006.0
Politician,Robeyoncé_Lima,trans woman,36.0,2020.0
Artist,Romy_Haag,trans woman,76.0,2007.0
Artist,Ronya,non-binary,33.0,2016.0
Artist,Rosa_Bonheur,non-binary,77.0,2002.0
Artist,Rosie_Tucker,non-binary,34.0,2021.0
Artist,Rune_Naito,trans woman,92.0,2020.0
Artist,Ryan_Cassata,trans man,31.0,2011.0
Artist,Rémy_Noë,trans man,50.0,2007.0
Artist,Sadie_Benning,non-binary,51.0,2004.0
Artist,Salvador_Sobral,intersex,35.0,2017.0
Artist,Salvia_(artist),trans woman,,2021.0
Artist,Sam_Bettens,trans man,52.0,2004.0
Artist,Sam_Lo,non-binary,,2016.0
Scientist,Samer_Hassan,non-binary,42.0,2018.0
Politician,Samonas,eunuch,31.0,2010.0
Artist,Sandy_Stone_(artist),trans woman,88.0,2007.0
Athlete,Santhi_Soundarajan,intersex woman,43.0,2006.0
Politician,Sarah_Brown_(politician),trans woman,,2013.0
Athlete,Sarah_Gronert,intersex woman,38.0,2009.0
Artist,Sarah_Hennies,transgender,45.0,2022.0
Politician,Sarah_McBride,trans woman,34.0,2014.0
MilitaryPerson,Sarah_Rosetta_Wakeman,trans man,21.0,2008.0
Artist,Savannah_Knoop,genderfluid,,2006.0
Artist,Scarlett_la_Queen,trans woman,45.0,2021.0
Athlete,Schuyler_Bailar,trans man,28.0,2016.0
MilitaryPerson,Sergeant_Reckless,female organism,20.0,2012.0
MilitaryPerson,Sergeant_Stubby,male organism,16.0,2006.0
Artist,Shamir_(musician),non-binary,30.0,2014.0
MilitaryPerson,Shane_Ortega,trans man,,2015.0
Model,Shay_Neary,trans woman,39.0,2017.0
Artist,Shea_Diamond,trans woman,46.0,2019.0
Artist,Shyraa_Roy,trans woman,29.0,2020.0
Artist,Sierra_Noble,non-binary,34.0,2011.0
Artist,Simon_Hanselmann,genderfluid,43.0,2013.0
MilitaryPerson,Sinbad_(dog),male organism,14.0,2011.0
Artist,Sir_Babygirl,non-binary,31.0,2019.0
Noble,"Sir_Ewan_Forbes,_11th_Baronet",intersex,79.0,2007.0
Model,Siri_Lehland,trans woman,23.0,2018.0
Academic,Sj_Miller,non-binary,54.0,2017.0
Artist,Skylar_Kergil,trans man,33.0,2014.0
Artist,Sofie_Hagen,non-binary,36.0,2015.0
Artist,Sophie_(musician),trans woman,35.0,2014.0
Artist,Sophie_Campbell,trans woman,45.0,2009.0
Artist,Sophie_Labelle,non-binary,36.0,2016.0
BeautyQueen,Sruthy_Sithara,trans woman,7.0,2022.0
Politician,Stacie_Laughton,trans woman,40.0,2023.0
Athlete,Stanisława_Walasiewicz,intersex woman,69.0,2002.0
Model,Stav_Strashko,trans woman,32.0,2018.0
Athlete,Stephanie_Barrett,trans woman,45.0,2021.0
Politician,Stephanie_Byers,trans woman,61.0,2020.0
Presenter,Stephanie_Hirst,trans woman,49.0,2006.0
Politician,Stephe_Koontz,trans woman,,2018.0
Politician,Stu_Rasmussen,trans man,73.0,2008.0
Politician,Stubbs_(cat),male organism,20.0,2012.0
Politician,Susan_Allen,two-spirit,61.0,2011.0
Criminal,Susan_Monica,trans woman,76.0,2018.0
Model,Teddy_Quinlivan,trans woman,30.0,2017.0
Royalty,Theophylact_(son_of_Michael_I),eunuch,56.0,2012.0
Philosopher,Timothy_Morton,non-binary,56.0,2011.0
Athlete,Tori_Groves-Little,non-binary,24.0,2019.0
BeautyQueen,Trixie_Maristela,trans woman,38.0,2015.0
MilitaryPerson,Ulrika_Eleonora_Stålhammar,trans man,50.0,2007.0
BeautyQueen,Valentina_Fluchaire,trans woman,30.0,2022.0
Athlete,Valentina_Petrillo,trans woman,51.0,2022.0
Model,Valentina_Sampaio,trans woman,28.0,2019.0
Youtuber,Vladislav_Bumaga,trans man,28.0,2024.0
MilitaryPerson,William_Windsor_(goat),male organism,24.0,2009.0
MilitaryPerson,Wojtek_(bear),male organism,22.0,2006.0
Athlete,Zdeněk_Koubek,intersex,73.0,2014.0
MilitaryPerson,Zhao_Yun,intersex,68.0,2003.0
BeautyQueen,Ángela_Ponce,trans woman,33.0,2018.0
