subclass,instance,gender,age,publication_year
Scientist,Chanda_Prescod-Weinstein,agender,42.0,2018.0
Writer,Charlie_Jane_Anders,trans woman,55.0,2006.0
Writer,Charlie_Petch,transmasculine,,2022.0
Artist,Chase_Johnsey,genderfluid,,2018.0
Writer,Che_Gossett,non-binary,,2019.0
Writer,Cheena_Marie_Lo,genderqueer,,2018.0
Artist,Chen_Lili_(model),trans woman,44.0,2004.0
MilitaryPerson,Cher_Ami,male organism,1.0,2002.0
Artist,Chloe_Moriondo,non-binary,22.0,2020.0
Model,Choi_Han-bit,trans woman,37.0,2010.0
Artist,Chris_Pureka,genderqueer,45.0,2006.0
Artist,Christian_Beranek,trans woman,50.0,2008.0
Politician,Christine_Hallquist,trans woman,68.0,2018.0
Artist,Christine_Harstad_Schuff,trans woman,45.0,2023.0
Artist,Christy_Darlington,trans woman,52.0,2013.0
Writer,Chuck_Tingle,transgender,,2015.0
Artist,Cidny_Bullens,trans man,74.0,2009.0
Artist,Cinder_(musician),transgender,63.0,2009.0
Artist,Claud_(singer),non-binary,25.0,2020.0
Artist,Claude_Cahun,non-binary,60.0,2004.0
Royalty,Constantine_(son_of_Leo_V),eunuch,1.0,2010.0
Youtuber,ContraPoints,trans woman,36.0,2018.0
Model,Cory_Wade_Hindorff,non-binary,34.0,2018.0
Artist,Crazy_Frog,male organism,,2005.0
Writer,Cyrée_Jarelle_Johnson,transmasculine,34.0,2020.0
Artist,Dana_International,trans woman,55.0,2003.0
Writer,Danez_Smith,non-binary,,2016.0
Athlete,Dani_Laidley,trans woman,57.0,2023.0
Politician,Danica_Roem,trans woman,40.0,2017.0
Writer,Daniel_M._Lavery,trans man,38.0,2014.0
Artist,Daniel_Sea,non-binary,47.0,2006.0
Athlete,Darcy_Vescio,non-binary,31.0,2016.0
Writer,David_Crouse,non-binary,53.0,2008.0
Writer,Dawn_Langley_Simmons,trans woman,63.0,2007.0
Artist,DeAnne_Smith,agender,45.0,2011.0
Artist,Dee_Palmer,trans woman,87.0,2004.0
Scientist,Deirdre_McCloskey,trans woman,82.0,2005.0
Artist,Demian_Dinéyazhi',non-binary,41.0,2020.0
Scientist,Desiré_Dubounet,trans woman,73.0,2016.0
Artist,Devon_Rose,non-binary,29.0,2016.0
Artist,Diana_King,non-binary,54.0,2004.0
Writer,Diana_Thomas_(writer),trans woman,65.0,2011.0
Scientist,Dietrich_Braess,cisgender man,86.0,2013.0
Artist,DijahSB,non-binary,,2021.0
Artist,Dorce_Gamalama,trans woman,59.0,2007.0
Artist,Dorian_Electra,genderfluid,32.0,2012.0
Artist,Dreamcrusher,non-binary,,2021.0
Artist,Dua_Saleh,non-binary,,2020.0
Politician,Duda_Salabert,travesti,43.0,2021.0
Politician,Dylan_Tippetts,trans man,24.0,2022.0
Artist,Eden_Atwood,intersex woman,55.0,2006.0
Writer,Eileen_Myles,non-binary,75.0,2005.0
Artist,Ele_A_el_Dominio,intersex,36.0,2018.0
Artist,Eleanor_Hardwick,non-binary,31.0,2015.0
Artist,Electra_Elite,trans woman,47.0,2021.0
Artist,Eliot_Sumner,non-binary,34.0,2008.0
Writer,Elisha_Lim,non-binary,46.0,2012.0
Scientist,Elke_Mackenzie,trans woman,79.0,2019.0
Youtuber,Elsa_Ruiz,trans woman,37.0,2022.0
Artist,ElyOtto,trans man,20.0,2021.0
Artist,Elysia_Crampton,trans woman,38.0,2016.0
Politician,Emilia_Schneider,trans woman,28.0,2021.0
Writer,Emily_St._James,trans woman,42.0,2020.0
Model,Emma_Ellingsen,trans woman,23.0,2018.0
Scientist,Emmy_Murphy,trans woman,38.0,2018.0
Politician,Erica_Malunguinho,trans woman,43.0,2018.0
Artist,Erica_Rutherford,trans woman,85.0,2020.0
Politician,Erika_Hilton,trans woman,32.0,2021.0
Writer,Essa_may_ranapiri,non-binary,,2022.0
Politician,Estefan_Cortes-Vargas,non-binary,29.0,2015.0
Artist,Ethel_Cain,trans woman,26.0,2021.0
Criminal,Eugene_Falleni,trans man,63.0,2010.0
Cleric,Eustratius_Garidas,eunuch,,2009.0
Artist,Eva_Shaw,non-binary,,2020.0
Artist,Evelyn_Morris,non-binary,,2008.0
Athlete,Ewa_Kłobukowska,intersex woman,78.0,2006.0
Scientist,Ewin_Tang,trans woman,24.0,2018.0
Artist,Ezra_Furman,trans woman,38.0,2008.0
Athlete,Fallon_Fox,trans woman,49.0,2013.0
Philosopher,Favorinus,intersex man,115.0,2002.0
Artist,Felicita_(musician),non-binary,37.0,2017.0
Politician,Felix_Reda,trans man,38.0,2014.0
Artist,Feroza_Syed,trans woman,,2020.0
Artist,Filipe_Catto,non-binary,37.0,2021.0
Artist,Fiore_de_Henriquez,intersex woman,83.0,2013.0
Artist,Flor_Amargo,non-binary,36.0,2020.0
Artist,Florian-Ayala_Fauna,intersex,,2017.0
Athlete,Foekje_Dillema,intersex woman,81.0,2004.0
Writer,Foz_Meadows,non-binary,38.0,2018.0
Writer,France_Daigle,trans man,71.0,2009.0
Artist,Frances_Forever,non-binary,25.0,2021.0
Artist,Frances_Quinlan,non-binary,38.0,2019.0
Athlete,Francine_Niyonsaba,intersex woman,31.0,2012.0
Criminal,Francis_Heaulme,intersex man,65.0,2008.0
OfficeHolder,Freya_(cat),female organism,15.0,2012.0
MilitaryPerson,Fufu_(dog),male organism,18.0,2015.0
Scientist,G.F._Laundon,trans woman,86.0,2019.0
Artist,G_Flip,non-binary,30.0,2018.0
Athlete,Gabbi_Tuft,trans woman,46.0,2008.0
Writer,Gabrielle_Calvocoressi,non-binary,50.0,2017.0
Writer,Garielle_Lutz,trans woman,69.0,2006.0
Artist,Gavilán_Rayna_Russom,trans woman,50.0,2010.0
Model,Gemma_Cowling,trans woman,,2018.0
Artist,Geo_Soctomah_Neptune,non-binary,36.0,2019.0
Writer,George_Abraham_(poet),non-binary,,2020.0
Politician,Georgina_Beyer,trans woman,66.0,2003.0
OfficeHolder,Geraldine_Roman,trans woman,57.0,2016.0
Politician,Gerri_Cannon,trans woman,,2018.0
Artist,Gia_Gunn,trans woman,34.0,2014.0
Politician,Gladstone_(cat),male organism,10.0,2016.0
Artist,Grant_Morrison,non-binary,64.0,2003.0
Artist,Gummibär,male organism,,2009.0
Writer,Gwen_Benaway,trans woman,37.0,2018.0
OfficeHolder,Hadım_Ali_Pasha,eunuch,110.0,2010.0
MilitaryPerson,Hadım_Suleiman_Pasha_(governor_of_Rumelia),eunuch,,2006.0
Artist,Hannah_Gadsby,non-binary,46.0,2009.0
Model,Hanne_Gaby_Odiele,non-binary,36.0,2009.0
Athlete,Hannelore_Brenner,genderfluid,61.0,2014.0
Model,Hari_Nef,trans woman,32.0,2015.0
Model,Harisu,trans woman,49.0,2004.0
Athlete,Harrison_Browne,trans man,31.0,2016.0
Writer,Harry_Josephine_Giles,non-binary,38.0,2022.0
Writer,Helen_Macdonald_(writer),non-binary,54.0,2015.0
Artist,Hiten_Noonwal,genderfluid,,2021.0
Artist,Holland_Andrews,genderfluid,36.0,2021.0
Artist,Honey_Dijon,trans woman,74.0,2017.0
Politician,Huang_Hao,eunuch,,2005.0
Politician,Humphrey_(cat),male organism,18.0,2004.0
Artist,Hunter_Hunt-Hendrix,trans woman,39.0,2023.0
Model,Hunter_Schafer,trans woman,26.0,2018.0
BeautyQueen,Huong_Giang,trans woman,33.0,2024.0
Artist,IRAWniQ,transmasculine,38.0,2017.0
Politician,Ice_Seguerra,trans man,41.0,2006.0
Journalist,Imara_Jones,trans woman,,2019.0
Artist,Imbi_the_Girl,non-binary,27.0,2018.0
Artist,Indira_Allegra,non-binary,,2018.0
Artist,Invincible_(rapper),non-binary,,2007.0
Model,Isis_King,trans woman,39.0,2008.0
Scientist,JJ_Eldridge,non-binary,,2019.0
Artist,Jackie_Shane,trans woman,79.0,2015.0
Scientist,Jaimie_Veale,trans woman,,2021.0
Artist,Jake_Elwes,non-binary,31.0,2021.0
Artist,Jake_Zyrus,trans man,32.0,2007.0
Politician,Jakkaphong_Jakrajutatip,trans woman,45.0,2020.0
Politician,James_Roesener,trans man,,2022.0
Youtuber,James_Stephanie_Sterling,non-binary,40.0,2014.0
Writer,James_Wylder,non-binary,35.0,2022.0
Youtuber,Jamie_Raines,trans man,30.0,2021.0
Politician,Jamie_Wallis,transgender,40.0,2019.0
Writer,Jan_Morris,trans woman,94.0,2005.0
Artist,Jana_Hunter,genderfluid,,2005.0
Artist,Janelle_Monáe,non-binary,39.0,2006.0
Scientist,Jaqueline_Jesus,trans woman,46.0,2015.0
Artist,Jason_Greene,genderfluid,36.0,2018.0
Writer,Jay_Hulme,trans man,27.0,2017.0
Artist,Jayne_County,trans woman,77.0,2005.0
Artist,Jean_Grae,non-binary,48.0,2005.0
Artist,Jeanette_Schmid,trans woman,81.0,2006.0
Writer,Jeannette_Ng,non-binary,47.0,2018.0
Artist,Jeffrey_Catherine_Jones,trans woman,67.0,2005.0
Artist,Jen_Cloher,non-binary,51.0,2010.0
Writer,Jennell_Jaquays,trans woman,68.0,2009.0
Writer,Jennie_June_(autobiographer),non-binary,,2007.0
Artist,Jennifer_Maidman,trans woman,66.0,2015.0
Politician,Jenny_Bailey,trans woman,62.0,2007.0
Model,Jenny_Hiloudaki,trans woman,56.0,2006.0
Artist,Jerry_Paper,non-binary,34.0,2018.0
Politician,Jess_Herbst,trans woman,66.0,2017.0
Artist,Jess_McAvoy,non-binary,44.0,2008.0
Writer,Jia_Qing_Wilson-Yang,trans woman,41.0,2017.0
Politician,Jian_Shuo,eunuch,89.0,2005.0
Artist,Jin_Xing,trans woman,57.0,2005.0
Cleric,Jo_Inkpin,trans woman,,2021.0
Artist,Joachim-Raphaël_Boronali,male organism,,2017.0
Scientist,Joan_Roughgarden,trans woman,78.0,2006.0
Artist,Johanna_Hedva,non-binary,40.0,2016.0
Artist,John-Allison_Weiss,non-binary,37.0,2012.0
Artist,John_Trobaugh,trans woman,56.0,2023.0
Artist,Jordana_(producer),trans woman,71.0,2009.0
Politician,Joshua_Query,genderqueer,,2018.0
Writer,José_Pablo_Iriarte,non-binary,,2019.0
Writer,Joy_Ladin,trans woman,63.0,2013.0
Cleric,Juana_María_Condesa_Lluch,cisgender woman,54.0,2016.0
Philosopher,Judith_Butler,non-binary,68.0,2002.0
Criminal,Jukka_Lindholm,trans woman,59.0,2023.0
Artist,Jul_Maroh,non-binary,39.0,2013.0
Writer,Jules_Gill-Peterson,trans woman,,2022.0
Artist,Juliana_Huxtable,trans woman,37.0,2015.0
Writer,Juno_Dawson,trans woman,43.0,2017.0
Artist,Justin_Vivian_Bond,non-binary,61.0,2004.0
Writer,Kacen_Callender,trans man,35.0,2019.0
Athlete,Kagetsu,transgender,32.0,2019.0
Philosopher,Karen_Barad,non-binary,68.0,2007.0
Artist,Karen_Dior,trans woman,37.0,2005.0
Artist,Karin_Dreijer,genderfluid,49.0,2005.0
Scientist,Karissa_Sanbonmatsu,trans woman,,2019.0
Scientist,Karl_Pulotu-Endemann,faʻafafine,65.0,2014.0
Youtuber,Kat_Blaque,trans woman,34.0,2015.0
Model,Kataluna_Enriquez,trans woman,29.0,2021.0
Artist,Kate_Leth,non-binary,36.0,2015.0
Scientist,Kate_Stone_(engineer),trans woman,,2020.0
Artist,Katherine_Collins,trans woman,77.0,2006.0
